name;url;average_product_count;latest_product_count;latest_timestamp_CEST
Intel Core PCs;https://www.medion.com/de/shop/intel-core-pcs;2,0;2;2026-09-09 20:38:43
Intel Core i5;https://www.medion.com/at/shop/laptops/intel-core-i5;2,0;2;2026-09-09 20:38:43
Intel Core i5;https://www.medion.com/de/shop/laptops/intel-core-i5;2,0;2;2026-09-09 20:38:43
Intel Core i7;https://www.medion.com/at/shop/laptops/intel-core-i7;4,0;4;2026-09-09 20:38:43
Intel Core i7;https://www.medion.com/de/shop/laptops/intel-core-i7;4,0;4;2026-09-09 20:38:43
Intel Games Bundle Produkte;https://www.medion.com/at/shop/lp/intel-games-bundle-produkte;17,43;18;2026-09-09 20:38:43
Intel Games Bundle Produkte;https://www.medion.com/de/shop/lp/intel-games-bundle-produkte;18,43;19;2026-09-09 20:38:43
Intel PC;https://www.medion.com/at/shop/lp/intel-pc;10,43;11;2026-09-09 20:38:43
Intel PC;https://www.medion.com/de/shop/lp/intel-pc;10,43;11;2026-09-09 20:38:43
Intel Produkte;https://www.medion.com/at/shop/lp/intel-produkte;29,43;30;2026-09-09 20:38:43
Intel Produkte;https://www.medion.com/de/shop/lp/intel-produkte;30,43;31;2026-09-09 20:38:43
IntelÂ® Coreâ¢ Ultra Prozessoren;https://www.medion.com/at/shop/intel-core-ultra-series-2-produkte;23,43;24;2026-09-09 20:38:43
IntelÂ® Coreâ¢ Ultra Prozessoren;https://www.medion.com/de/shop/intel-core-ultra-series-2-produkte;24,43;25;2026-09-09 20:38:43
Internetradios;https://www.medion.com/at/shop/internetradios;7,0;7;2026-09-09 20:38:43
Internetradios;https://www.medion.com/de/shop/internetradios;7,0;7;2026-09-09 20:38:43
Inventur Sale;https://www.medion.com/at/shop/inventur-sale;64,43;65;2026-09-09 20:38:43
Inventur Sale;https://www.medion.com/de/shop/inventur-sale;68,43;69;2026-09-09 20:38:43
KI gestÃ¼tzte Laptops;https://www.medion.com/at/shop/laptops/ki;3,0;3;2026-09-09 20:38:43
KI gestÃ¼tzte Laptops;https://www.medion.com/de/shop/laptops/ki;3,0;3;2026-09-09 20:38:43
